VALOR;FAMILIA;AÑO;MES;Fecha_recepción;Unidad_negocio;Tp_doc;Número_documento;Tp_ord;Número_orden;Observaciones;2_n_artículo;Cost_Alm;Cantidad_recibida;UM;PROVEEDOR;Número_lote_serie;C_Emision;Lead_Time
10100229783; 5;2020; 8;21/08/2020;100;OV;81617;OP;59411;001008069;10100229783;1,628056e+02;   260;UN;2709055;2380984007  V18/02/2021;2,118359e+05;NA
10100520936;11;2020; 8;19/08/2020;100;OV;81558;OP;59528;0010057938;10100520936;8,620370e-01; 49104;UN;2200264;10/08/2020;1,433024e+07;NA
10100564810;10;2020; 8;19/08/2020;100;OV;81557;OP;59266;0100057938;10100564810;8,159740e-01; 51876;UN;2200264;07/08/2020;1,664576e+07;NA
10100516082; 6;2020; 8;18/08/2020;100;OV;81477;OP;59377;10081247;10100516082;7,054911e-01; 60000;UN;2504724;07/08/2020;3,204544e+07;NA
10100516082; 8;2020; 8;18/08/2020;100;OV;81477;OP;59377;10081247;10100516082;2,116473e+00; 20000;UN;2504724;10/08/2020;8,045436e+06;NA
10100504208; 7;2020; 8;18/08/2020;100;OV;81475;OP;59588;0010081247;10100504208;1,511767e+00; 28000;UN;2504724;06/08/2020;1,284544e+07;NA
10100504208; 8;2020; 8;18/08/2020;100;OV;81475;OP;59588;0010081247;10100504208;2,116473e+01;  2000;UN;2504724;07/08/2020;8,454359e+05;NA
10100570325; 6;2020; 8;18/08/2020;100;OV;81479;OP;59618;100081247;10100570325;1,763728e+00; 24000;UN;2504724;10/08/2020;1,284544e+07;NA
10100570325; 2;2020; 8;18/08/2020;100;OV;81479;OP;59618;100081247;10100570325;1,175819e+00; 36000;UN;2504724;07/08/2020;5,764544e+07;NA
10100204084; 8;2020; 8;18/08/2020;100;OV;81490;OP;58920;3033;10100204084;3,527456e-01;120000;UN;2760939;CH-ALFA-0720-171 V29.01.2021;4,804544e+07;NA
10100204087; 7;2020; 8;18/08/2020;100;OV;81490;OP;58920;3033;10100204087;3,527456e-01;120000;UN;2760939;CH-D03-0720-171 V30.01.2021;5,490258e+07;NA
10100204099; 4;2020; 8;18/08/2020;100;OV;81490;OP;58920;3033;10100204099;7,054911e-01; 60000;UN;2760939;CH-MDA-0720-0820-171 V31.10.20;4,804544e+07;NA
10100233580; 2;2020; 8;18/08/2020;100;OV;81490;OP;58920;3033;10100233580;4,703274e-01; 90000;UN;2760939;CH-D10T-0720-171 V31.01.2021;1,440454e+08;NA
10100329097; 2;2020; 8;14/08/2020;100;OV;81427;OP;58240;00166;10100329097;2,090344e-01;202500;UN;2740340;4/08/2020;3,240454e+08;NA
10100329097; 9;2020; 8;14/08/2020;100;OV;81427;OP;58240;00166;10100329097;1,045172e+00; 40500;UN;2740340;6/08/2020;1,444544e+07;NA
10100329097; 7;2020; 8;14/08/2020;100;OV;81430;OP;58240;0166;10100329097;2,090344e-01;202500;UN;2740340;5/08/2020;9,261686e+07;NA
10100329097;11;2020; 8;14/08/2020;100;OV;81430;OP;58240;0166;10100329097;2,090344e-01;202500;UN;2740340;4/08/2020;5,895453e+07;NA
10100329097; 9;2020; 8;14/08/2020;100;OV;81430;OP;58240;0166;10100329097;1,045172e+00; 40500;UN;2740340;5/08/2020;1,444544e+07;NA
10100321066; 4;2020; 8;14/08/2020;100;OV;81445;OP;58240;1000166;10100321066;1,045172e+00; 40500;UN;2740340;25/07/2020;3,244544e+07;NA
10100321845; 4;2020; 8;14/08/2020;100;OV;81445;OP;58240;1000166;10100321845;1,045172e+00; 40500;UN;2740340;28/07/2019;3,244544e+07;NA
10100321845;10;2020; 8;14/08/2020;100;OV;81445;OP;58240;1000166;10100321845;1,045172e+00; 40500;UN;2740340;14/03/2020;1,300544e+07;NA
10100321845; 9;2020; 8;14/08/2020;100;OV;81445;OP;58240;1000166;10100321845;1,045172e+00; 40500;UN;2740340;11/03/2020;1,444544e+07;NA
10100328707; 7;2020; 8;14/08/2020;100;OV;81445;OP;58240;1000166;10100328707;1,045172e+00; 40500;UN;2740340;02/08/2020;1,855972e+07;NA
10100329097; 1;2020; 8;14/08/2020;100;OV;81430;OP;58240;0166;10100329097;1,045172e+00; 40500;UN;2740340;5/08/2020;1,296454e+08;NA
10100329097; 4;2020; 8;14/08/2020;100;OV;81428;OP;59605;000166;10100329097;1,045172e+00; 40500;UN;2740340;6/08/2020;3,244544e+07;NA
10100329097; 1;2020; 8;14/08/2020;100;OV;81427;OP;58240;00166;10100329097;2,090344e-01;202500;UN;2740340;5/08/2020;6,480454e+08;NA
10100366313;11;2020; 8;10/08/2020;100;OV;81209;OP;58241;010001123;10100366313;1,282711e+00; 33000;UN;1621443;0620RL4020;9,645436e+06;NA
10100366313; 9;2020; 8;10/08/2020;100;OV;81209;OP;58241;010001123;10100366313;3,409542e+00; 12415;UN;1621443;0620RL4021;4,459658e+06;NA
10100366590; 6;2020; 8;09/08/2020;100;OV;81204;OP;59256;001005672;10100366590;7,572355e-01; 55900;UN;2708345;6.7/08/2020;2,985877e+07;NA
10100265428; 4;2020; 8;07/08/2020;100;OV;81199;OP;58454;0010007903;10100265428;4,232947e+00; 10000;UN;2707093;08/20 - V 03/02/2021;8,045436e+06;NA
10100520936; 5;2020; 8;06/08/2020;100;OV;81153;OP;59052;00100057700;10100520936;7,054911e-01; 60000;UN;2200264;04/08/2020;3,844544e+07;NA
10100520936; 4;2020; 8;06/08/2020;100;OV;81153;OP;59052;00100057700;10100520936;5,440246e-01; 77808;UN;2200264;04/08/2020;6,229184e+07;NA
10100520936; 4;2020; 8;06/08/2020;100;OV;81153;OP;59052;00100057700;10100520936;1,042855e+01;  4059;UN;2200264;05/08/2020;3,292636e+06;NA
10100504241; 2;2020; 8;06/08/2020;100;OV;81152;OP;59266;0010057700;10100504241;8,313099e-01; 50919;UN;2200264;03/08/2020;8,151584e+07;NA
10100328028; 2;2020; 8;06/08/2020;100;OV;81154;OP;58240;100158;10100328028;5,225860e-01; 81000;UN;2740340;06/07/2020;1,296454e+08;NA
10100516082; 2;2020; 8;05/08/2020;100;OV;81080;OP;59267;0010081140;10100516082;1,410982e+00; 30000;UN;2504724;27/07/20;4,804544e+07;NA
10100516082; 2;2020; 8;05/08/2020;100;OV;81081;OP;59377;00100081140;10100516082;6,317831e-01; 67000;UN;2504724;28/07/20;1,072454e+08;NA
10100504234;10;2020; 8;05/08/2020;100;OV;81080;OP;59267;0010081140;10100504234;1,410982e+00; 30000;UN;2504724;28/07/20;9,645436e+06;NA
10100504201; 4;2020; 8;04/08/2020;100;OV;81043;OP;59052;00100057603;10100504201;1,287863e+00; 32868;UN;2200264;20/07/2020;2,633984e+07;NA
10100504187; 8;2020; 8;03/08/2020;100;OV;80986;OP;59266;010057641;10100504187;8,191003e-01; 51678;UN;2200264;03/08/2020;2,071664e+07;NA
